Year,EEZ,Catch,Effort,CPUE
1954,Seychelles,870.8946596,881.1855207,0.988321573
1954,Solomon Isl.,4268.297785,303482.6017,0.01406439
1954,Somalia,1299.434823,12354.9335,0.10517538
1954,South Africa (Indian Ocean),34.86799809,39693.60002,0.000878429
1954,Sri Lanka,14543.50667,149221.1034,0.097462801
1954,St Martin (France),193.5998789,89130.75838,0.002172088
1954,Taiwan,5262.608584,1503425.237,0.003500413
1954,Timor Leste,552.9088431,5938.91289,0.093099335
1954,Tokelau (New Zealand),31.288092,918123.4362,3.41E-05
1954,Tonga,1714.281065,11324.82969,0.151373673
1954,Turks & Caicos Isl. (UK),304.475377,223.4286966,1.362740694
1954,Tuvalu,155.9906746,3262.434142,0.047814199
1954,US Virgin Isl.,1324.569887,196347.0938,0.006746063
1954,USA,3858.255692,280515.0592,0.013754184
1954,Vanuatu,527.8057575,4339.888817,0.121617345
1954,Venezuela,8410.468039,6627477.761,0.00126903
1954,Vietnam,3024.215945,236533.868,0.012785551
1954,Wallis & Futuna Isl. (France),303.9963745,80079.19574,0.003796197
1954,Yemen (Arabian Sea),13.17051908,474.719041,0.027743819
1955,American Samoa,863.0762445,1045062.287,0.000825861
1955,Andaman & Nicobar Isl. (India),781.0872401,3758.08995,0.20784155
1955,Anguilla (UK),188.5196233,3133.426308,0.060164052
1955,Antigua and Barbuda,999.8448934,186032.4682,0.005374572
1955,Australia,4477.622913,14693556.06,0.000304734
1955,Bahamas,2289.831291,4710451.685,0.000486117
1955,Barbados,52.89406109,3347.372088,0.015801668
1955,Belize,2350.273547,29198.38459,0.080493273
1955,Bermuda (UK),278.2982372,261054.7454,0.001066053
1955,Bonaire (Netherlands),33.27202008,12894.56916,0.002580313
1955,Brazil (mainland),1515.554522,20229.63177,0.074917554
1955,British Virgin Isl. (UK),582.375355,101552.1037,0.005734744
1955,Brunei Darussalam,154.5502872,52424.56256,0.002948051
1955,Cayman Isl. (UK),34.38219111,35460.26044,0.000969598
1955,Chagos Archipelago (UK),28.784,67.52887496,0.426247291
1955,China,3257.77113,37357.96654,0.087204188
1955,Christmas Island,17.8853719,15.77130282,1.134045304
1955,Cocos (Keeling) Islands,49.8402704,602.3781864,0.082739169
1955,Colombia,1888.605236,111863.1393,0.016883177
1955,Comoros Isl.,4.915835068,134.8744659,0.036447485
1955,Cook Islands,620.979021,1745.03717,0.355854323
1955,Costa Rica (Pacific),351.0621555,303111.7848,0.001158194
1955,Cuba,6122.032854,3668107.383,0.00166899
